process,type,component,subcomponent,mode,period,val,unit
ELEC,capex,,,,2030,67.0,EUR/(MWh/a)
ELEC,capex,,,,2050,25.0,EUR/(MWh/a)
ELEC,fixed_opex_rel,,,,,0.03,1
ELEC,energy_demand,electricity,,,2030,1.5,1
ELEC,energy_demand,electricity,,,2050,1.395,1
DAC,capex,,,,2030,338,EUR/t
DAC,capex,,,,2050,199,EUR/t
DAC,fixed_opex_rel,,,,,0.04,1
DAC,energy_demand,electricity,,,2030,0.42,MWh/t
DAC,energy_demand,electricity,,,2050,0.3,MWh/t
DAC,energy_demand,heat,,,2030,1.7,MWh/t
DAC,energy_demand,heat,,,2050,1.3,MWh/t
HP,capex,,,,2030,67.4,EUR/(MWh/a)
HP,capex,,,,2050,60.5,EUR/(MWh/a)
HP,fixed_opex_rel,,,,,0.02,1
HP,energy_demand,electricity,,,2030,0.307,1
HP,energy_demand,electricity,,,2050,0.285,1
CCU,capex,,,,2030,200,EUR/t
CCU,capex,,,,2050,100,EUR/t
CCU,energy_demand,electricity,,,,1.667,MWh/t
DR,capex,,,,,350,EUR/t
DR,energy_demand,electricity,electricity,,,0.1,MWh/t
DR,energy_demand,electricity,heat,,,0.1,MWh/t
DR,energy_demand,hydrogen,,H2,,1.8,MWh/t
DR,energy_demand,natural gas,,H2,,0.432,MWh/t
DR,energy_demand,natural gas,,NG,,2.694,MWh/t
DR,feedstock_demand,ore,,,,1.51,1
DR,feedstock_prices,ore,,,,130,EUR/t
DR,fixed_opex_rel,,,,,0.03,1
EAF,capex,,,,,260.0,EUR/t
EAF,energy_demand,electricity,For CDRI w/o heating,primary,,0.580,MWh/t
EAF,energy_demand,electricity,For using scrap,secondary,,0.474,MWh/t
EAF,energy_demand,electricity,Heating of CDRI,,,0.159,MWh/t
EAF,feedstock_demand,alloys,,,,0.011,1
EAF,feedstock_demand,dri,,primary,,1.065,1
EAF,feedstock_demand,dri,,secondary,,0.0,1
EAF,feedstock_demand,graphite,,,,0.0025,1
EAF,feedstock_demand,lime,,,,0.05,1
EAF,feedstock_demand,scrap,,primary,,0.17,1
EAF,feedstock_demand,scrap,,secondary,,1.09,1
EAF,feedstock_prices,alloys,,,,1720.0,EUR/t
EAF,feedstock_prices,graphite,,,,4000,EUR/t
EAF,feedstock_prices,lime,,,,100,EUR/t
EAF,feedstock_prices,scrap,,,,180,EUR/t
EAF,fixed_opex_rel,,,,,0.03,1
HB,capex,,,,,379.2,EUR/t
HB,energy_demand,hydrogen,,,,5.883,MWh/t
HB,energy_demand,electricity,air-separation unit,,,0.723,MWh/t
HB,energy_demand,electricity,Haber-Bosch process,,,2.06,MWh/t
HB,fixed_opex_rel,,,,,0.03,1
UREA,capex,,,,,213.5,EUR/t
UREA,fixed_opex_rel,,,,,0.03,EUR/t
UREA,energy_demand,electricity,heat,,,0.914,MWh/t
UREA,energy_demand,electricity,elec,,,0.133,MWh/t
UREA,feedstock_demand,ammonia,,,,0.575,t/t
UREA,feedstock_demand,co2,,,,0.744,t/t
MEOH,capex,,,,,496.5,EUR/t
MEOH,fixed_opex_rel,,,,,0.05,1
MEOH,energy_demand,electricity,,,,1.5,MWh/t
MEOH,energy_demand,hydrogen,,,,6.466,MWh/t
MEOH,feedstock_demand,co2,,,,1.42,1
MTO,capex,,,,,395.1,EUR/t
MTO,fixed_opex_rel,,,,,0.07,1
MTO,energy_demand,electricity,,,,1.389,MWh/t
MTO,feedstock_demand,methanol,,,,2.28,1
,transport,hydrogen,,pipeline,2030,20,EUR/MWh
,transport,hydrogen,,pipeline,2050,15,EUR/MWh
,transport,hydrogen,,shipping,2030,70,EUR/MWh
,transport,hydrogen,,shipping,2050,60,EUR/MWh
,transport,ore,,,,14,EUR/t
,transport,dri,,,,20,EUR/t
,transport,steel,,,,30,EUR/t
,transport,ammonia,,,,35,EUR/t
,transport,urea,,,,35,EUR/t
,transport,methanol,,,,35,EUR/t
,transport,ethylene,,,,35,EUR/t
